terminal_id,city,canonical_name,aliases
NAEK010,서울,서울경부,강남;고터;강남고속;서울고속;고속터미널
NAEK021,서울,센트럴시티,센트럴;강남호남;호남선
NAEK032,서울,동서울,강변
NAEK801,대구,동대구,동대구복합;동대구환승센터;대구고속
NAEK805,대구,서대구,서대구고속;만평;대구북부;북부정류장
NAEK807,대구,대구용계,대구서부;서부정류장
NAEK700,부산,부산종합,부산;부산노포;노포;노포동;부산고속;해운대;해운대터미널
NAEK703,부산,부산서부,서부산;사상;사상터미널
NAEK300,대전,대전복합,동대전;대전터미널
NAEK305,대전,대전청사,정부청사;둔산
NAEK500,광주,광주종합,광주;유스퀘어;광주고속;광천동
NAEK100,인천,인천종합,인천;인천터미널;관교동
NAEK120,성남,성남종합,성남;야탑;분당
NAEK400,청주,청주고속,청주;가경동
NAEK310,천안,천안고속,천안;천안터미널
NAEK602,전주,전주고속,전주;전주터미널
NAEK200,강릉,강릉고속,강릉;강릉터미널
NAEK240,원주,원주고속,원주;원주터미널
NAEK230,속초,속초고속,속초;속초터미널
NAEK830,포항,포항고속,포항;포항터미널
NAEK710,창원,창원고속,창원
NAEK705,마산,마산고속,마산
NAEK715,울산,울산고속,울산;울산터미널
NAEK250,춘천,춘천고속,춘천;춘천터미널
NAEK352,세종,세종터미널,세종;세종청사
NAEK722,진주,진주고속,진주;진주터미널
NAEK510,여수,여수고속,여수;여수터미널
NAEK515,순천,순천고속,순천;순천터미널
NAEK505,목포,목포고속,목포;목포터미널
NAEK815,경주,경주고속,경주;경주터미널
NAEK840,안동,안동고속,안동;안동터미널
NAEK735,김해,김해고속,김해;김해터미널
NAEK810,구미,구미고속,구미;구미터미널
NAEK730,통영,통영고속,통영;통영터미널
NAEK180,평택,평택고속,평택;평택터미널
NAEK340,아산,아산고속,아산;온양;아산온양
NAEK270,양양,양양고속,양양;양양터미널
NAEK320,공주,공주고속,공주;공주터미널
NAEK130,안성,안성고속,안성;안성터미널
NAEK450,제천,제천고속,제천;제천터미널
NAEK140,여주,여주고속,여주;여주터미널
NAEK238,횡성,횡성고속,횡성;횡성터미널
NAEK150,용인,용인고속,용인;용인터미널
NAEK160,이천,이천고속,이천;이천터미널
NAEK220,삼척,삼척고속,삼척;삼척터미널
NAEK210,동해,동해고속,동해;동해터미널
NAEK825,상주,상주고속,상주;상주터미널
NAEK835,영주,영주고속,영주;영주터미널
NAEK850,문경,점촌,문경;문경터미널;점촌터미널
NAEK330,금산,금산고속,금산;금산터미널
NAEK394,태안,태안고속,태안;태안터미널
NAEK851,예천,예천고속,예천;예천터미널
NAEK520,광양,광양고속,광양;광양터미널
NAEK146,포천,포천고속,포천;포천터미널
NAEK148,철원,철원고속,철원;철원터미널
NAEK272,영월,영월고속,영월;영월터미널
NAEK372,부여,부여고속,부여;부여터미널
NAEK274,태백,태백고속,태백;태백터미널
NAEK222,정선,정선고속,정선;정선터미널
NAEK845,영천,영천고속,영천;영천터미널
NAEK843,영덕,영덕고속,영덕;영덕터미널
NAEK389,홍성,홍성고속,홍성;홍성터미널
NAEK853,울진,울진고속,울진;울진터미널
NAEK858,봉화,봉화고속,봉화;봉화터미널
NAEK393,서산,서산고속,서산;서산터미널
NAEK312,당진,당진고속,당진;당진터미널
NAEK370,논산,논산고속,논산;논산터미널
